cell ,,,,,,,,,,cell ,,,,,,,,,,,cell ,,,,,,,,cell ,,,,,,,,,,,cell ,,,,,,,,,,,cell ,,,,,,,,,,,cell ,,,,,,,,,,,cell ,,,,,,,,,,,cell ,,,,,,,,,,,cell ,,,,,,,,,
1,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,4,,,,,,,,,,,5,,,,,,,,,,,6,,,,,,,,,,,7,,,,,,,,,,,8,,,,,,,,,,,9,,,,,,,,,,,10,,,,,,,,,
Cell_01_0002_SpTimes,Cell_01_0003_SpTimes,Cell_01_0004_SpTimes,Cell_01_0005_SpTimes,Cell_01_0006_SpTimes,Cell_01_0007_SpTimes,Cell_01_0008_SpTimes,Cell_01_0009_SpTimes,Cell_01_0010_SpTimes,,Cell_01_0011_SpTimes,Cell_01_0012_SpTimes,Cell_01_0013_SpTimes,Cell_01_0014_SpTimes,Cell_01_0015_SpTimes,Cell_01_0016_SpTimes,Cell_01_0017_SpTimes,Cell_01_0018_SpTimes,Cell_01_0019_SpTimes,Cell_01_0020_SpTimes,,Cell_01_0021_SpTimes,Cell_01_0023_SpTimes,Cell_01_0022_SpTimes,Cell_01_0024_SpTimes,Cell_01_0025_SpTimes,Cell_01_0026_SpTimes,Cell_01_0030_SpTimes,,Cell_01_0121_SpTimes,Cell_01_0122_SpTimes,Cell_01_0123_SpTimes,Cell_01_0124_SpTimes,Cell_01_0125_SpTimes,Cell_01_0126_SpTimes,Cell_01_0127_SpTimes,Cell_01_0128_SpTimes,Cell_01_0129_SpTimes,Cell_01_0130_SpTimes,,Cell_01_0031_SpTimes,Cell_01_0032_SpTimes,Cell_01_0033_SpTimes,Cell_01_0034_SpTimes,Cell_01_0035_SpTimes,Cell_01_0036_SpTimes,Cell_01_0037_SpTimes,Cell_01_0038_SpTimes,Cell_01_0039_SpTimes,Cell_01_0040_SpTimes,,Cell_01_0041_SpTimes,Cell_01_0042_SpTimes,Cell_01_0043_SpTimes,Cell_01_0044_SpTimes,Cell_01_0045_SpTimes,Cell_01_0046_SpTimes,Cell_01_0047_SpTimes,Cell_01_0048_SpTimes,Cell_01_0049_SpTimes,Cell_01_0050_SpTimes,,Cell_01_0061_SpTimes,Cell_01_0062_SpTimes,Cell_01_0063_SpTimes,Cell_01_0064_SpTimes,Cell_01_0065_SpTimes,Cell_01_0066_SpTimes,Cell_01_0067_SpTimes,Cell_01_0068_SpTimes,Cell_01_0069_SpTimes,Cell_01_0070_SpTimes,,Cell_01_0071_SpTimes,Cell_01_0072_SpTimes,Cell_01_0073_SpTimes,Cell_01_0074_SpTimes,Cell_01_0075_SpTimes,Cell_01_0076_SpTimes,Cell_01_0077_SpTimes,Cell_01_0078_SpTimes,Cell_01_0079_SpTimes,Cell_01_0080_SpTimes,,Cell_01_0081_SpTimes,Cell_01_0082_SpTimes,Cell_01_0083_SpTimes,Cell_01_0084_SpTimes,Cell_01_0085_SpTimes,Cell_01_0086_SpTimes,Cell_01_0087_SpTimes,Cell_01_0088_SpTimes,Cell_01_0089_SpTimes,Cell_01_0090_SpTimes,,Cell_01_0091_SpTimes,Cell_01_0092_SpTimes,Cell_01_0093_SpTimes,Cell_01_0094_SpTimes,Cell_01_0095_SpTimes,Cell_01_0096_SpTimes,Cell_01_0100_SpTimes,Cell_01_0099_SpTimes,Cell_01_0098_SpTimes,Cell_01_0097_SpTimes
0.451762,0.394375,0.347669,0.321467,0.366515,0.375596,0.440302,0.456842,0.299495,,0.480859,0.46902,0.471003,0.43672,0.723799,0.321738,0.382733,0.52562,0.47728,0.509434,,0.260294,0.27864,0.27476,0.296669,0.297085,0.296573,0.197075,,0.206738,0.208486,0.215334,0.243357,0.450279,0.595852,0.82081,0.8783,1.02149,0.701485,,0.768078,0.742222,0.748149,0.778339,0.773319,0.807424,0.712165,0.735946,0.758166,0.712267,,0.656168,0.67991,0.667617,0.602108,0.59743,0.672428,0.725257,0.695745,0.709395,0.679705,,0.116098,0.237131,0.125787,0.11843,0.121191,0.211572,0.12735,0.131311,0.131178,0.127672,,0.207248,0.210458,0.204656,0.209377,0.224915,0.206356,0.205823,0.200398,0.189638,0.21516,,0.279273,0.27927,0.271936,0.273861,0.26449,0.272923,0.28802,0.278457,0.257914,0.260117,,0.247586,0.255958,0.246329,0.250416,0.24293,0.268289,0.223185,0.239125,0.242243,0.23815
0.590108,0.439139,0.392913,0.352362,0.395401,0.407436,0.472859,0.488694,0.325643,,0.526284,0.508561,0.510673,0.471716,0.760451,0.348545,0.416655,0.565997,0.520551,0.565982,,0.283988,0.310369,0.306731,0.329006,0.323468,0.333559,0.213506,,0.225554,0.227818,0.233347,0.26647,0.488153,0.642987,0.872453,1.00732,1.10329,0.749909,,0.844094,0.817162,0.818332,0.854539,0.847923,0.880202,0.780607,0.808412,0.831716,0.78323,,0.705773,0.745247,0.731374,0.660487,0.653066,0.736229,0.80286,0.757173,0.778105,0.739643,,0.13091,0.249114,0.140357,0.129992,0.133528,0.226975,0.14007,0.141445,0.142083,0.138185,,0.22671,0.234029,0.224806,0.226625,0.243113,0.226332,0.225119,0.217305,0.208367,0.234234,,0.310382,0.307796,0.297584,0.306037,0.289861,0.294714,0.313606,0.299626,0.276073,0.286645,,0.27135,0.280123,0.269171,0.273204,0.266586,0.289788,0.247735,0.261045,0.263969,0.258268
0.62283,0.468078,0.436927,0.387292,0.434115,0.434798,0.507275,0.519468,0.370355,,0.56903,0.549401,0.555041,0.501267,0.874314,0.381145,0.458047,0.618119,0.564321,0.613755,,0.305136,0.339678,0.332558,0.365232,0.35717,0.360456,0.231271,,0.248384,0.245853,0.253432,0.292502,0.525735,0.711217,0.984687,1.09589,1.18737,0.809559,,0.920233,0.887047,0.892127,0.928447,0.926115,0.95794,0.849595,0.88383,0.900242,0.860382,,0.774077,0.813162,0.805435,0.727618,0.722216,0.783058,0.861116,0.822943,0.842538,0.814687,,0.140714,0.261613,0.151992,0.14438,0.147826,0.237527,0.153869,0.153365,0.154875,0.152208,,0.245091,0.25396,0.246633,0.245152,0.261706,0.247744,0.242137,0.236738,0.226789,0.252729,,0.336247,0.330091,0.324529,0.332291,0.314528,0.319251,0.337805,0.3263,0.304586,0.312502,,0.293593,0.303429,0.293774,0.293993,0.288688,0.311075,0.268342,0.283928,0.287201,0.278998
0.671992,0.537531,0.476522,0.412031,0.460898,0.468605,0.559486,0.577378,0.401846,,0.632387,0.590995,0.597447,0.544417,0.934269,0.41669,0.503869,0.665207,0.617628,0.695236,,0.327339,0.364979,0.356992,0.397185,0.388283,0.384608,0.251138,,0.26522,0.26532,0.274983,0.314785,0.571135,0.765279,1.04314,1.15732,1.26546,0.876747,,1.00262,0.966162,0.970789,1.00185,1.00326,1.03489,0.914177,0.954916,0.970479,0.942245,,0.827713,0.881958,0.884746,0.777605,0.781762,0.844249,0.931499,0.884021,0.907971,0.880192,,0.152393,0.311164,0.163895,0.155667,0.158778,0.261934,0.165839,0.164708,0.166348,0.163264,,0.264688,0.275547,0.263557,0.262762,0.284114,0.266182,0.261287,0.257453,0.246124,0.272655,,0.36543,0.354778,0.347297,0.357348,0.338478,0.345455,0.365474,0.35348,0.326421,0.337373,,0.31761,0.326676,0.316789,0.317399,0.314931,0.334235,0.29153,0.304178,0.306911,0.300008
0.709445,0.575635,0.514879,0.440602,0.505941,0.504319,0.596904,0.602882,0.42968,,0.673014,0.646916,0.645589,0.580505,0.986575,0.449409,0.537997,0.707934,0.65883,0.738808,,0.352581,0.391489,0.38007,0.424762,0.417262,0.417237,0.268541,,0.285185,0.283606,0.297253,0.334739,0.599261,0.833411,1.11538,1.34424,1.36888,0.938255,,1.08028,1.03705,1.05124,1.07446,1.07838,1.11041,0.982984,1.02853,1.04234,1.01447,,0.89374,0.942908,0.955445,0.84496,0.838466,0.907,0.998137,0.949442,0.971864,0.938809,,0.164483,0.33622,0.176327,0.168593,0.171466,0.299575,0.178242,0.177963,0.179131,0.175733,,0.283822,0.294028,0.283453,0.281549,0.305267,0.286495,0.278886,0.279667,0.266119,0.293642,,0.393536,0.381191,0.374035,0.386508,0.366274,0.373133,0.38906,0.380115,0.355164,0.361886,,0.341353,0.351636,0.339702,0.341392,0.33617,0.356948,0.311271,0.325408,0.330186,0.32466
0.763116,0.613456,0.584349,0.474428,0.534097,0.541173,0.63298,0.634536,0.474602,,0.721859,0.685603,0.681246,0.618877,1.01772,0.492122,0.57536,0.750705,0.703034,0.783941,,0.373019,0.415331,0.408992,0.455785,0.451969,0.44622,0.288794,,0.326213,0.305702,0.316487,0.359126,0.649636,0.873008,1.18653,1.65284,1.45234,1.01087,,1.15965,1.10964,1.13076,1.15492,1.15015,1.18375,1.05456,1.09476,1.11224,1.08745,,0.956964,1.00718,1.02409,0.908419,0.903192,0.967068,1.05594,1.00887,1.03415,1.00467,,0.177754,0.360069,0.188047,0.180784,0.183097,0.32371,0.190707,0.189657,0.191865,0.186601,,0.303432,0.312055,0.302915,0.299901,0.326328,0.30844,0.298157,0.2995,0.288352,0.314003,,0.420468,0.408945,0.403071,0.413271,0.39103,0.398881,0.420852,0.406562,0.378511,0.389605,,0.365225,0.372087,0.365104,0.363692,0.357518,0.3803,0.332468,0.3479,0.352662,0.346564
0.803253,0.646694,0.612887,0.515271,0.578655,0.566738,0.723582,0.69267,0.503535,,0.769227,0.733628,0.714485,0.65355,1.13095,0.524125,0.604501,0.823403,0.744261,0.826236,,0.400216,0.442582,0.441439,0.489841,0.493686,0.485877,0.302929,,0.344607,0.324114,0.33537,0.390264,0.682798,0.971734,1.26568,1.68154,1.51375,1.07806,,1.24353,1.18188,1.20352,1.22504,1.22774,1.26157,1.12903,1.16264,1.18359,1.1622,,1.01919,1.07227,1.08932,0.967953,0.960395,1.02717,1.12202,1.07285,1.08562,1.06808,,0.18707,0.372231,0.200776,0.193781,0.195026,0.348619,0.202992,0.201697,0.201503,0.198246,,0.327046,0.332323,0.324075,0.320733,0.348284,0.32683,0.317587,0.31866,0.305123,0.331713,,0.445409,0.43375,0.424648,0.43684,0.418993,0.426759,0.442561,0.435196,0.408276,0.41822,,0.393584,0.396799,0.388701,0.386621,0.381397,0.403684,0.354162,0.369189,0.374205,0.368046
0.827301,0.672667,0.649951,0.54478,0.613972,0.604075,0.760008,0.727911,0.543858,,0.838627,0.770368,0.76514,0.687362,1.16285,0.563458,0.653969,0.87549,0.793124,0.865381,,0.428116,0.470072,0.466371,0.523797,0.535702,0.511382,0.321679,,0.363943,0.343849,0.36047,0.41082,0.726985,1.0229,1.38985,1.76684,1.61955,1.13197,,1.31741,1.25699,1.28073,1.29989,1.30223,1.33774,1.19804,1.22563,1.25508,1.23718,,1.08043,1.1401,1.15085,1.02924,1.02933,1.08636,1.18687,1.14082,1.15882,1.13725,,0.201213,0.395923,0.213259,0.204991,0.207289,0.369624,0.214582,0.212906,0.213947,0.211658,,0.345143,0.349854,0.342944,0.339109,0.369668,0.346727,0.338471,0.336727,0.322083,0.353591,,0.470295,0.462661,0.449355,0.465898,0.441859,0.453822,0.469565,0.462426,0.432526,0.441082,,0.417899,0.418978,0.411754,0.409754,0.404778,0.426236,0.377333,0.395066,0.396632,0.389965
0.860893,0.717559,0.685011,0.584131,0.65526,0.638986,0.797612,0.750286,0.58098,,0.876947,0.824926,0.812801,0.740136,1.20166,0.597112,0.692659,0.933558,0.850488,0.907435,,0.449266,0.496692,0.520576,0.556418,0.59924,0.543854,0.341296,,0.384826,0.362106,0.378551,0.433039,0.764919,1.08045,1.50913,1.86377,1.70502,1.18169,,1.39594,1.3336,1.35183,1.37387,1.37115,1.41125,1.26632,1.29876,1.32542,1.30851,,1.12311,1.20084,1.20707,1.08898,1.08996,1.14625,1.24273,1.1951,1.22803,1.20459,,0.211957,0.407413,0.227297,0.217127,0.217196,0.383948,0.227826,0.224143,0.227136,0.22417,,0.366391,0.369381,0.362924,0.355322,0.3903,0.368382,0.358439,0.354648,0.342288,0.373601,,0.499376,0.488484,0.475216,0.493919,0.468451,0.481828,0.495308,0.488442,0.461236,0.469449,,0.442368,0.438329,0.43444,0.432374,0.427039,0.447923,0.399686,0.416552,0.418325,0.41332
0.918214,0.749064,0.725622,0.63574,0.700592,0.671049,0.847803,0.786853,0.614653,,0.925077,0.862845,0.868998,0.78222,1.2701,0.62701,0.739241,0.996427,0.924366,0.963159,,0.474658,0.51798,0.550069,0.58579,0.648222,0.571925,0.357676,,0.404554,0.375472,0.399241,0.458033,0.812474,1.13497,1.5789,1.93236,1.76786,1.24542,,1.47075,1.41547,1.42513,1.44755,1.44505,1.48575,1.33411,1.3741,1.40021,1.37682,,1.19293,1.26869,1.26785,1.14997,1.15336,1.22633,1.29927,1.26967,1.30343,1.27365,,0.222897,0.419517,0.240384,0.229977,0.231239,0.394736,0.240149,0.235692,0.238564,0.238285,,0.383803,0.391733,0.383616,0.37558,0.411054,0.387815,0.376152,0.374687,0.360397,0.395134,,0.524462,0.515043,0.499615,0.523663,0.493677,0.508483,0.520148,0.510681,0.484226,0.495634,,0.465454,0.464859,0.456657,0.455549,0.451265,0.471188,0.419666,0.440143,0.44019,0.437819
0.944611,0.790093,0.76593,0.672145,0.730455,0.70264,0.911406,0.820567,0.642912,,0.97406,0.896363,0.906864,0.820295,1.3088,0.663504,0.777146,1.0389,0.977481,1.02455,,0.499071,0.543296,0.577906,0.610069,0.678283,0.604336,0.374789,,0.421926,0.396742,0.420099,0.476562,0.848747,1.18055,1.67043,2.02186,1.8367,1.30873,,1.54481,1.48838,1.49487,1.51767,1.51874,1.55906,1.40485,1.46583,1.46992,1.45325,,1.25239,1.3288,1.33248,1.2019,1.21651,1.29572,1.36573,1.33718,1.38504,1.33405,,0.236196,0.43199,0.251602,0.241039,0.242239,0.407548,0.25413,0.250397,0.249838,0.249026,,0.404687,0.411888,0.404703,0.396293,0.431467,0.406001,0.395273,0.394904,0.379065,0.414922,,0.549363,0.543323,0.527656,0.549979,0.522228,0.536906,0.548125,0.539135,0.506478,0.523195,,0.488044,0.488118,0.479932,0.47912,0.474182,0.491611,0.44001,0.462012,0.461736,0.458763
